DecimalYear,Declination,Inclination,Hor,Total,X,Y,Z
1980.18493,-1.75951,64.08748,20669.0,47297.5,20659.2,-634.6,42542.4
1980.28493,-1.74771,64.08793,20669.4,47299.3,20659.8,-630.4,42544.1
1980.38493,-1.7359,64.08838,20669.8,47301.0,20660.3,-626.1,42545.8
1980.48493,-1.7241,64.08883,20670.2,47302.8,20660.9,-621.9,42547.5
1980.58493,-1.71229,64.08928,20670.7,47304.5,20661.4,-617.7,42549.3
1980.68493,-1.70049,64.08973,20671.1,47306.2,20662.0,-613.4,42551.0
1980.78493,-1.68868,64.09017,20671.5,47308.0,20662.5,-609.2,42552.7
1980.88493,-1.67688,64.09062,20671.9,47309.7,20663.1,-604.9,42554.4
1980.98493,-1.66508,64.09106,20672.4,47311.5,20663.6,-600.7,42556.2
1981.08493,-1.65327,64.09151,20672.8,47313.2,20664.2,-596.4,42557.9
1981.18493,-1.64147,64.09195,20673.2,47314.9,20664.7,-592.2,42559.6
1981.28493,-1.62967,64.09239,20673.7,47316.7,20665.3,-587.9,42561.4
1981.38493,-1.61787,64.09284,20674.1,47318.4,20665.9,-583.7,42563.1
1981.48493,-1.60607,64.09328,20674.5,47320.2,20666.4,-579.5,42564.8
1981.58493,-1.59427,64.09372,20675.0,47321.9,20667.0,-575.2,42566.5
1981.68493,-1.58247,64.09415,20675.4,47323.7,20667.5,-571.0,42568.3
1981.78493,-1.57067,64.09459,20675.8,47325.4,20668.1,-566.7,42570.0
1981.88493,-1.55887,64.09503,20676.3,47327.2,20668.6,-562.5,42571.7
1981.98493,-1.54708,64.09546,20676.7,47328.9,20669.2,-558.2,42573.4
1982.08493,-1.53528,64.0959,20677.2,47330.7,20669.7,-554.0,42575.2
1982.18493,-1.52348,64.09633,20677.6,47332.4,20670.3,-549.7,42576.9
1982.28493,-1.51169,64.09676,20678.0,47334.1,20670.8,-545.5,42578.6
1982.38493,-1.49989,64.09719,20678.5,47335.9,20671.4,-541.3,42580.4
1982.48493,-1.4881,64.09762,20678.9,47337.6,20672.0,-537.0,42582.1
1982.58493,-1.4763,64.09805,20679.4,47339.4,20672.5,-532.8,42583.8
1982.68493,-1.46451,64.09848,20679.8,47341.1,20673.1,-528.5,42585.5
1982.78493,-1.45271,64.09891,20680.3,47342.9,20673.6,-524.3,42587.3
1982.88493,-1.44092,64.09934,20680.7,47344.6,20674.2,-520.0,42589.0
1982.98493,-1.42913,64.09976,20681.2,47346.4,20674.7,-515.8,42590.7
1983.08493,-1.41734,64.10019,20681.6,47348.1,20675.3,-511.6,42592.5
1983.18493,-1.40554,64.10061,20682.1,47349.9,20675.8,-507.3,42594.2
1983.28493,-1.39375,64.10103,20682.5,47351.6,20676.4,-503.1,42595.9
1983.38493,-1.38196,64.10145,20683.0,47353.4,20676.9,-498.8,42597.6
1983.48493,-1.37017,64.10187,20683.4,47355.1,20677.5,-494.6,42599.4
1983.58493,-1.35838,64.10229,20683.9,47356.9,20678.1,-490.3,42601.1
1983.68493,-1.34659,64.10271,20684.3,47358.6,20678.6,-486.1,42602.8
1983.78493,-1.3348,64.10313,20684.8,47360.4,20679.2,-481.8,42604.5
1983.88493,-1.32302,64.10355,20685.2,47362.1,20679.7,-477.6,42606.3
1983.98493,-1.31123,64.10396,20685.7,47363.9,20680.3,-473.4,42608.0
1984.08493,-1.29944,64.10438,20686.1,47365.7,20680.8,-469.1,42609.7
1984.18493,-1.28766,64.10479,20686.6,47367.4,20681.4,-464.9,42611.5
1984.28493,-1.27587,64.1052,20687.1,47369.2,20681.9,-460.6,42613.2
1984.38493,-1.26408,64.10562,20687.5,47370.9,20682.5,-456.4,42614.9
1984.48493,-1.2523,64.10603,20688.0,47372.7,20683.0,-452.1,42616.6
1984.58493,-1.24051,64.10644,20688.4,47374.4,20683.6,-447.9,42618.4
1984.68493,-1.22873,64.10684,20688.9,47376.2,20684.2,-443.6,42620.1
1984.78493,-1.21695,64.10725,20689.4,47377.9,20684.7,-439.4,42621.8
1984.88493,-1.20516,64.10766,20689.8,47379.7,20685.3,-435.2,42623.5
1984.98493,-1.19338,64.10807,20690.3,47381.5,20685.8,-430.9,42625.3
1985.08493,-1.18381,64.10965,20690.1,47383.8,20685.7,-427.5,42627.9
1985.18493,-1.17462,64.11144,20689.9,47386.2,20685.5,-424.1,42630.8
1985.28493,-1.16544,64.11323,20689.6,47388.6,20685.3,-420.8,42633.6
1985.38493,-1.15625,64.11502,20689.3,47391.1,20685.1,-417.5,42636.4
1985.48493,-1.14707,64.11681,20689.1,47393.5,20684.9,-414.2,42639.3
1985.58493,-1.13788,64.1186,20688.8,47395.9,20684.7,-410.8,42642.1
1985.68493,-1.1287,64.12039,20688.5,47398.4,20684.5,-407.5,42644.9
1985.78493,-1.11951,64.12218,20688.3,47400.8,20684.3,-404.2,42647.8
1985.88493,-1.11032,64.12397,20688.0,47403.2,20684.1,-400.9,42650.6
1985.98493,-1.10114,64.12575,20687.7,47405.7,20683.9,-397.6,42653.4
1986.08493,-1.09195,64.12754,20687.4,47408.1,20683.7,-394.2,42656.3
1986.18493,-1.08276,64.12932,20687.2,47410.5,20683.5,-390.9,42659.1
1986.28493,-1.07358,64.1311,20686.9,47413.0,20683.3,-387.6,42661.9
1986.38493,-1.06439,64.13289,20686.6,47415.4,20683.1,-384.3,42664.8
1986.48493,-1.0552,64.13467,20686.4,47417.8,20682.9,-381.0,42667.6
1986.58493,-1.04601,64.13645,20686.1,47420.3,20682.7,-377.6,42670.4
1986.68493,-1.03683,64.13823,20685.9,47422.7,20682.5,-374.3,42673.3
1986.78493,-1.02764,64.14001,20685.6,47425.1,20682.3,-371.0,42676.1
1986.88493,-1.01845,64.14179,20685.3,47427.6,20682.1,-367.7,42678.9
1986.98493,-1.00926,64.14357,20685.1,47430.0,20681.9,-364.3,42681.8
1987.08493,-1.00007,64.14535,20684.8,47432.4,20681.6,-361.0,42684.6
1987.18493,-0.99088,64.14712,20684.5,47434.9,20681.4,-357.7,42687.4
1987.28493,-0.98169,64.1489,20684.3,47437.3,20681.2,-354.4,42690.3
1987.38493,-0.9725,64.15068,20684.0,47439.8,20681.0,-351.1,42693.1
